Gene	Source	Role.in.cancer
AKT1	Cosmic cancer gene census	oncogene
ALK	Cosmic cancer gene census	"oncogene, fusion"
CD74	Cosmic cancer gene census	"oncogene, fusion"
EGFR	Cosmic cancer gene census	oncogene
EML4	Cosmic cancer gene census	fusion
ERBB2	Cosmic cancer gene census	"oncogene, fusion"
EZR	Cosmic cancer gene census	fusion
FGFR2	Cosmic cancer gene census	"oncogene, fusion"
KDR	Cosmic cancer gene census	oncogene
KIF5B	Cosmic cancer gene census	fusion
KRAS	Cosmic cancer gene census	oncogene
LRIG3	Cosmic cancer gene census	"TSG, fusion"
MAP2K1	Cosmic cancer gene census	oncogene
MAP2K2	Cosmic cancer gene census	oncogene
NFE2L2	Cosmic cancer gene census	"oncogene, TSG"
NKX2-1	Cosmic cancer gene census	"oncogene, TSG"
NRG1	Cosmic cancer gene census	"TSG, fusion"
SDC4	Cosmic cancer gene census	fusion
SLC34A2	Cosmic cancer gene census	"TSG, fusion"
SMARCA4	Cosmic cancer gene census	TSG
SOX2	Cosmic cancer gene census	oncogene
STK11	Cosmic cancer gene census	TSG
TP53	Cosmic cancer gene census	"oncogene, TSG, fusion"
CDKN2A	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
PTEN	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
PIK3CA	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	oncogene
KEAP1	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
KMT2D	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	"oncogene, TSG"
HLA-A	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	fusion
NOTCH1	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	"oncogene, TSG, fusion"
RB1	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
PDYN	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	NA
FAM123B	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	NA
HRAS	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	oncogene
FBXW7	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
NF1	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	"TSG, fusion"
SMAD4	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
APC	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
TSC1	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
BRAF	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	"oncogene, fusion"
TNFAIP3	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	TSG
CREBBP	"TCGA, Comprehensive genomic characterization of squamous cell lung cancers, Nature, 2012"	"oncogene, TSG, fusion"
ARID1A	Expert opinion	"TSG, fusion"
MALAT1	Expert opinion	"oncogene, TSG, fusion"
FAT1	Expert opinion	TSG
ESR1	Expert opinion	"oncogene, TSG, fusion"
NEAT1	Expert opinion	NA
CHEK2	Expert opinion	TSG
RET	Expert opinion	"oncogene, fusion"
NTRK3	Expert opinion	"oncogene, fusion"
PTPRB	Expert opinion	TSG
FOXA2	Expert opinion	NA
AKT2	Expert opinion	oncogene
EPHB1	Expert opinion	TSG
MLL2	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
RASA1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
KDM6A	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	"oncogene, TSG"
CUL3	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	TSG
IRF6	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
ARHGAP35	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	oncogene
PASK	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
NSD1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	fusion
RBM10	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	TSG
SETD2	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	TSG
MGA	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
FTSJD1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
MET	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	oncogene
ATM	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	TSG
U2AF1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	oncogene
RIT1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	oncogene
DOT1L	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
ARID2	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	TSG
PTPRU	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	oncogene
CTNNB1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	"oncogene, fusion"
ARHGEF12	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	"TSG, fusion"
KLHL5	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
PPP3CA	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
ATF7IP	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
KARS	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
RAF1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	"oncogene, fusion"
MLL3	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
FANCM	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
STIM1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
NRAS	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	oncogene
COL5A2	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	oncogene
ZFP36L1	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	NA
B2M	"Campbell et al, Distinct patterns of somatic genome alterations in lung adenocarcinomas and squamous cell carcinomas, Nature Genetics, 2016"	TSG
