Sample,Length
PD21883a,1724
PD21883b,9678.6
PD21883d,3731.2
PD21884a,4894.2
PD21884b,5545.3
PD21884c,3516.8
PD21885a,6319.9
PD21885b,4426.7
PD21885c,3354.8
PD21887a,4713.7
PD21887b,5810.2
PD21888a,2057.8
PD21888b,16311.5
PD21889a,5137
PD21889b,7859.4
PD21890a,2487.5
PD21890b,5025
PD21893a,3394.9
PD21893b,4157.5
PD21894a,2410.1
PD21894b,26144.1
PD21894c,2027.8
PD21894d,3066.9
PD21894e,6402.2
PD21894f,5637.6
PD21894g,4030.1
PD21895a,10923
PD21895b,48495.5
PD21896a,15890.2
PD21896b,6427.5
PD21897a,2929.1
PD21897b,4607.1
PD21898a,2033.4
PD21898b,4287
PD21899a,3226.1
PD21899b,7897.1
PD21902a,2842.3
PD21902b,5594.1
PD21904b,3989.2
PD21904c,4881.5
PD21904d,3341.2
PD21905a,6044.1
PD21905b,6233.2
PD21906a,6975.1
PD21906b,7730.7
PD21907a,1795.2
PD21907b,10517.6
PD21907c,4294.2
PD21908a,3463.4
PD21908b,0
